Cube_Num,K_Scramble,Scramble,Solution,Solution_Length,Time_ms
138,8,"D R' L D R L F' D'","D F R' L' D' R L' D'",8,0.2438
139,8,"U L' D' F D U R B","B' R' U' D' F' D L U'",8,0.0678
140,8,"U F' L' D' R' D' R' U","U' R D R D L F U'",8,0.6583
141,8,"D R F' U D R F' U'","U F R' U' D' F R' D'",8,0.0750
142,8,"D F' D' R' D U' B R","R' B' U D' R D F D'",8,1.3447
143,8,"U L' F' R L' D' L B","B' L' D R' L F L U'",8,0.1632
144,8,"L R L R B U' R' U","U' R U B' R2 L2",6,0.0073
145,8,"B U B' L F B L R","L' R' F' B' L' B U' B'",8,0.5386
146,8,"F L' F' L' F' D' F' U'","U F D F L F L F'",8,2.3840
147,8,"D B' U' D' U F' D' F'","F D F D B D'",6,0.0157
148,8,"R' L' R L' B' L R L'","R' B L2",3,0.0041
149,8,"R' B F' D B' F D U'","U D' F' B D' F B' R",8,1.8886
150,8,"B' R' B' L R U' B' D","D' B U R' L' B R B",8,0.0807
151,8,"D F D' U F' L' D' R","R' D L F U' D F' D'",8,0.4581
152,8,"R' B' R D' F' U' L U","U' L' U F D R' B R",8,0.0360
153,8,"R' D R' F U B' L' U","U' L B U' F' R D' R",8,0.0217
154,8,"R D' L F' U' D B' U'","U B U D' F L' D R'",8,0.0171
155,8,"D' U F' U D' U L F'","F L' U2 D F U' D",7,0.0935
156,8,"U L' F R' U L U' B","B' U L' U' R F' L U'",8,0.0269
157,8,"R' F' D L' D' L' U B'","B U' L D L D' F R",8,0.0860
158,8,"B' R' F L B' L' D B'","B D' L B L' F' R B",8,0.2772
159,8,"D B F' L U B U D","U' D' B' U' L' F B' D'",8,0.1024
160,8,"F' R' F L' U' D' L' F'","F L U D L F' R F",8,0.0881
161,8,"L U B' F L D' U L'","L U' D L' F' B U' L'",8,0.4519
162,8,"B R' D' R U D' B' U","U' B U' D R' D R B'",8,0.0642
163,8,"B U L' R' L' R B' D","D' B L2 U' B'",5,0.0060
164,8,"B' D B L B F' D L'","L D' F B' L' B' D' B",8,0.2361
165,8,"R' F' L' F D F' U' B","B' U F D' F' L F R",8,0.1313
166,8,"F' L U' L F B U' D'","U D F' B' L' U L' F",8,0.0309
167,8,"R F' L U' F' D R B","B' R' D' F U L' F R'",8,0.6426
168,8,"R' U D R B L R' D","D' R L' B' R' U' D' R",8,0.0913
169,8,"B U L D F' L R' D'","D R L' F D' L' U' B'",8,0.0646
170,8,"L' B D' R F R U L","L' U' R' F' R' D B' L",8,0.1326
171,8,"L B' L U F' L F U'","U F' L' F U' L' B L'",8,0.0304
172,8,"D B D' U' L U B F","F' B' U' L' U D B' D'",8,0.2167
173,8,"B R F' L F' L B' R","R' B L' F L' F R' B'",8,0.0272
174,8,"U F' D' B U' D B' D","D' B U D' B' D F U'",8,0.2034
175,8,"U' D' F D R L' U B'","B U' R' L D' F' U D",8,0.4314
176,8,"D R D U' B' D L U","U' L' D' B U D' R' D'",8,0.2014
177,8,"B R' B' D U' L D' R'","R D L' U D' B R B'",8,1.4634
178,8,"F L' F R D' B L B'","B L' B' D R' F' L F'",8,0.0721
179,8,"U' D F' B' U' R' L R'","R2 L' U F B U D'",7,0.0336
180,8,"D R' D' R' U' F U' R'","R U F' U R D R D'",8,0.1968
181,8,"U' D' R' F' B' D U B","B' U' D' F B R U D",8,0.0840
182,8,"F R F' D' L' D' L R","L' R' D L D F R' F'",8,0.6524
183,8,"B' F' R' L F B R B","B' R' F' B' R L' F B",8,0.7814
184,8,"U' D' U L' B U R' U'","U R U' B' L D",6,0.0047
185,8,"D R L' D' R L B F","F' B' R' L' D R' L D'",8,0.3742
186,8,"B U L B D' B' F' D'","D F B D B' L' U' B'",8,0.2946
187,8,"F R D' F' U' B D' F","F' D B' U F D R' F'",8,0.0360
188,8,"B' R' F' L U' L R' L","R L2 U L' F R B",7,0.0453
189,8,"U' R D B' D' R' L F'","F R L' D B D' R' U",8,0.2276
190,8,"F L D F B' F D' F'","F D F2 B D' L' F'",7,0.0418
191,8,"D' U' L' U R B D' R'","R D B' R' U' L U D",8,0.0532
192,8,"D L' U' L' B D' L B'","B L' D B' L U L D'",8,0.0590
193,8,"U B' L U L' F B U","U' F' B' L U' L' B U'",8,0.1070
194,8,"U' F' D' R L B' R B'","B R' B R' L' D F U",8,0.0792
195,8,"R F R' U' L D' F' R'","R F D L' U R F' R'",8,0.0635
196,8,"B' L B' R' L D B D'","D B' D' R L' B L' B",8,1.2867
197,8,"D' U' D' B' F L D B","B' D' L' F' B U D2",7,0.0365
198,8,"R' L' F' U L B U R","R' U' B' L' U' F R L",8,0.1111
199,8,"F D' L B R' D' B L","L' B' D R B' L' D F'",8,0.0244
200,8,"R' F B' R U' F L' D'","D L F' U R' F' B R",8,0.0414
201,9,"L' F L U' R' L R' B F","F' B' R2 L' U L' F' L",8,0.0492
202,9,"B' D R D U L B' L' R'","L R B L' U' D' R' D' B",9,0.4624
203,9,"R' L D R L' B' U' B' R","R' B U B R' L D' R L'",9,3.7386
204,9,"F R D' R' F' U R B F","F' B' R' U' F R D R' F'",9,0.5142
205,9,"U' B F D R L' U B R'","R B' U' R' L D' F' B' U",9,0.1428
206,9,"F D F R U' B' R D R","R' D' R' B U R' F' D' F'",9,2.3212
207,9,"U' R' U' B D' F' D' U R'","R U' D F D B' U R U",9,0.6344
208,9,"U B F' B D' L' R' L' F","F' R L2 D F B2 U'",7,0.0290
209,9,"F B' D F' D' F B' U' L","L' U F' B D F D' F' B",9,2.8415
210,9,"F' D R' F D' F' B D' F'","F D F B' D F' R D' F",9,0.4726
211,9,"F' R' D' U F' B L B' U'","U B L' F B' U' D R F",9,0.3199
212,9,"B U' F' B D' R F' B L","L' F B' R' D F B' U B'",9,0.0856
213,9,"L' U L B' R' F U B U'","U B' U' F' R B L' U' L",9,0.2304
214,9,"U' F' L' B R' L D U' L","L' U D' R L' B' L F U",9,0.5463
215,9,"U' D' B D' B' R L' R B","B' R2 L B D B' U D",8,0.1864
216,9,"B' F' L U D' L' U' B R","R' B' U L U' D L' F B",9,0.2279
217,9,"D' U' R' D' B U R B D","D' B' R' U' B' D R U D",9,0.4635
218,9,"F L F U' B R' B D B","B' D' B' R F' F B' U F' L' F'",11,2.8180
219,9,"D' L U' D F' R' L' U' L","L' U R L F U D' L' D",9,1.1099
220,9,"B F L' D' R L B F L'","L F' B' R' L' D L F' B'",9,0.3787
221,9,"F D' R F' L D' B L' R","L R' B' D L' F R' D F'",9,0.3458
222,9,"L' U D' L' F' B D F U'","U F' D' F B' L U' D L",9,5.0333
223,9,"F' B' U F' B' L F' L D","D' L' F L' F B U' F B",9,0.0746
224,9,"U F L' R' F' L F B U","U' F' B' L' F R L F' U'",9,0.3288
225,9,"F' R F U' F B' F' D' U'","U D B U F' R' F",7,0.0319
226,9,"D U' L' D' U B F U D'","U' D F' B' U' D L U D'",9,5.2422
227,9,"U' D' R L D' R L D U'","U D' L2 R' L D R' L' U D",10,3.7596
228,9,"F L' U' L B' U' L' U' D'","U D L U B L' U L F'",9,0.4261
229,9,"R L' U' F' R F' R' L' F","F' L R F R' F U R' L",9,0.3211
230,9,"U B R' L' F L' U' L' U","U' L U L F' R L B' U'",9,0.4493
231,9,"B R L F' L D L' R F","F' L R' D' L' F R' L' B'",9,0.9796
232,9,"F D L' U B U F' U' F'","F U F U' B' U' L D' F'",9,0.2127
233,9,"L' R F' D' F' U L F L","L' F' L' U' F D F R' L",9,0.5223
234,9,"L D' R' B R U B D B'","R B L B' L' B' R' U' L'",9,46.6689
235,9,"D B' F B F D U D' R","R' U' F2 D'",4,0.0039
236,9,"L F' U' R B L R' D L","L' D' R L' B' R' U F L'",9,0.2277
237,9,"R' F L' R' U' D R B F'","F B' R' U D' R L F' R",9,0.4983
238,9,"U D R D U R D' U D","U' R' U' D' R' U' D'",7,0.0102
239,9,"U' R' U' L U D F' L' R","L R' F U' D' L' U R U",9,0.6720
240,9,"R U' D' R' L B' F' U D'","U' D F B R L' U D R'",9,0.3694
241,9,"R U' R' B L D U' R L'","L R' U D' L' B' R U R'",9,0.6761
242,9,"D U' F B' L' R U R' L'","L2 F' B U D' L'",6,0.0255
243,9,"R' D F' D' U B' F' R F","F' R' F B U' D F D' R",9,0.0215
244,9,"L F' B' F' L B F U D'","U' D F' B' L' F2 B L'",8,0.2889
245,9,"R' U B F U B U R' D","D' R U' B' U' F' B' U' R",9,2.4365
246,9,"F L B' D F' D' F' B' F","B D F D' B L' F'",7,0.0413
247,9,"B L' R D' L D' L' U' B'","B U L D L' D R' L B'",9,3.1029
248,9,"R F L U L' F U' R' B'","B R U F' L U' L' F' R'",9,3.7300
249,9,"L' B' R B R' U L' U' D'","U D L U' R B' R' B L",9,0.1824
250,9,"F' D' R F L' F D' F' U'","U F D F' L F' R' D F",9,0.1837
251,9,"R F B F L' B F U' F'","F U F' B' L F2 B' R'",8,0.0552
252,9,"L' D' B D F' D' U' D B'","B U F D' B' D L",7,0.0296
253,9,"B R' F' D U B' F' R' F'","F R F B U' D' F R B'",9,0.2622
254,9,"D F' D F' U' F U' D L'","L U D' F' U F D' F D'",9,1.3336
255,9,"B' U F' R' F R D' U D'","U' D2 R' F' R F U' B",8,0.3807
256,9,"U' R' B R' D L F D B'","B D' F' L' D' R B' R U",9,0.2710
257,9,"B' D' F' D R' L B L D'","D L' B' R L' D' F D B",9,0.5440
258,9,"L U D' B' L R B' L R","L' R' B R' L' B U' D L'",9,3.2380
259,9,"R L' F' B' R' F D' L' R'","L R D F' R F B R' L",9,0.5040
260,9,"R F' B' D' R D' F L' R","L R' F' D R' D F B R'",9,0.4145
261,9,"F' U D L U' R F B' D'","D F' B R' U L' U' D' F",9,0.6875
262,9,"D B D' F' U' D R L' U","U' L R' U D' F D B' D'",9,3.4346
263,9,"D B L B R' U' F L' R","L R' F' U R B' L' B' D'",9,3.0766
264,9,"D' L R F' D R F' B' F","B R' D' F R' L' D",7,0.0778
265,9,"U D' U D F L' F' B D","D' F B' L F' U2",6,0.0182
266,9,"U B' R' F' B' D' L U F'","F U' L' D F B R B U'",9,0.0426
267,9,"D' B U B' D' L U' L' U'","U L U L' D B U' B' D",9,0.0468
268,9,"D R' D' U' F' D' R' D' B'","B D R D F U D R D'",9,0.3598
269,9,"B' D R F D' B F R D'","D R' F' B' D F' R' D' B",9,0.2164
270,9,"B F' D' U L F U L' B","B' L U' F' L' U' D F B'",9,0.6432
271,9,"F' D R' L B U B F' U'","U F B' U' B' R L' D' F",9,0.5076
272,9,"R' B D' F' L R' U F' L","L' F U' R L' F D B' R",9,0.2821
273,9,"R' F' B' R F' D B L D'","D L' B' D' F R' F B R",9,0.1051
274,9,"B' U' R' U' B F L R B","B' L' R' F' B' U R U B",9,0.3002
275,9,"L U F' D L' R' D U' L","L' U D' R L D' F U' L'",9,0.1346
276,9,"D' L B L R' F B' R' L","L' R F' B R L' B' L' D",9,1.7489
277,9,"R' L F' U B' L' F L' F'","F L F' L B U' F R L'",9,0.6109
278,9,"U B' L U L' R F U' B","B' U F' R' L U' L' B U'",9,0.3391
279,9,"L' B' R F' D' L' B' U' D'","U D B L D F R' B L",9,0.0425
280,9,"F' R' F R F' L' U' F' R","R' F U L F R' F' R F",9,2.5381
281,9,"U R' L' U B' F D' L D'","D L' D F' B U' R L U'",9,0.1363
282,9,"F D F B' F' B R U L","L' U' R' D' F'",5,0.0069
283,9,"B U R' B D F R' B D'","D B' R F' D' B' R U' B'",9,0.0656
284,9,"F U' B' R B D' R' L' F","F' L R D B' R' B U F'",9,0.0853
285,9,"D U B' D U' B L B' L","L' B L' B' U D' B U' D'",9,1.0367
286,9,"R U F B' D' L' D R D","D' R' D' L D F' B U' R'",9,0.2581
287,9,"F' L D' U' D R' B F D","D' F' B' R U L' F",7,0.0921
288,9,"D R U' R' L R' F R D","D' R' F' R2 L' U R' D'",8,0.0620
289,9,"F' U' B U' D' L' D L F","F' L' D' L U D B' U F",9,0.2568
290,9,"B' R' U B' U B D' F R'","R F' D B' U' B U' R B",9,0.1759
291,9,"B' R D' R' F' U F' L' D'","D L F U' F R D R' B",9,0.0704
292,9,"R' F' U' F U B U' D' B","B' U D B' U' F' U F R",9,0.9220
293,9,"F' U' L B' U F R' D U'","U D' R F' U' B L' U F",9,0.0492
294,9,"F U' B' D B U' D' B' R'","R B U D B' D' B U F'",9,0.2866
295,9,"U' B' D' U D' B' L' U' R","R' U L B U' D2 B U",8,0.0584
296,9,"B U' B' U L B R U' D","U D' R' B' L' U' B U B'",9,0.8972
297,9,"F' R U' L' B U' B L' F'","F L B' U B' L U R' F",9,0.5898
298,9,"R' U R D' F' U' L' U' D'","U D L U F D R' U' R",9,0.2022
299,9,"F D U' B R U F' D' B'","B D F U' R' B' U D' F'",9,0.1801
300,9,"L D F' D U' B U D' B","B' U' D B' U D' F D' L'",9,1.5783
301,10,"R' U' R F' L' B F' U' R L'","L R' U F B' L F R' U R",10,0.8475
302,10,"L' R' D B U' F D' B D L'","L D' B' D F' U B' D' R L",10,0.2526
303,10,"F' R' F L U' B' U L D F","F' D' L' U' B U L' F' R F",10,0.1600
304,10,"D' B D F B' L' F' L F U","U' F' L' F L F' B D' B' D",10,38.6170
305,10,"L' F D L R' L' B' R U L","L' U' R' B R D' F' L",8,0.0238
306,10,"R B R' D L U' B D' U B'","B U' D B' U L' D' R B' R'",10,2.4358
307,10,"D F L B D' U L' D' F L'","L F' D L U' D B' L' F' D'",10,4.2815
308,10,"D' U' B' L' R' D' U R' L U'","U L' R U' D R L B U D",10,0.3949
309,10,"L D' F' B' R L' B R' F' D","D' F R B' R' U U' L F B D L'",12,4.9089
310,10,"R' B F' L' F B' U' L R B","B' L' R' U F' B L F B' R",10,6.9600
311,10,"L R L D U' L B' D U' D","U D2 B D' D L' U D' R' L2",10,0.0211
312,10,"R' F L' F U' D' L F' U' B'","B U F L' U D F' L F' R",10,5.0494
313,10,"U R' B' R' F' D U' F U' F'","F U F' U D' F R B R U'",10,5.3411
314,10,"L F D B' F L F' B' L B","B' L' F B L' F' B D' F' L'",10,4.5672
315,10,"B' F U D R L' F U F' B","F B' U' F' R' L U' D' F' B",10,4.3393
316,10,"B' D F U' R D' B L' D F","F' D' L B' D R' U F' D' B",10,0.0734
317,10,"L' U R L' F' L' R' U F' R","R' F U' R L F R' L U' L",10,0.4054
318,10,"U' R' F U' R U' B F' U B","B' U' F B' U R' U F' R U",10,0.4516
319,10,"F L R U' L R' B' F L D'","D L' F' B R L' U R' L' F'",10,2.4367
320,10,"U' F' R' B' L U B' U L B","B' L' U' B U' L' B R F U",10,5.6196
321,10,"R' F D' B F' R L' F L U'","U L' F' R' L F B' D F' R",10,2.6929
322,10,"R L U' L' D L R' B' D R","R' D' B R L' D' L U R' L'",10,3.4712
323,10,"U' B R' L R F' B L' F' D'","D F L F B' L' B' U",8,0.1618
324,10,"B D' R' L' D' F' B U L' D","D' L U' F B' D R L D B'",10,0.6860
325,10,"B L U' B D U' L' B' U' R'","R U B L U D' B' U L' B'",10,2.3053
326,10,"U' B U R' D' L' R' U' D U'","U2 D' R L D R U' B' U",9,0.9266
327,10,"U L' B' D' F R' U' L' R' U'","U L R U R F' D B L U'",10,0.1698
328,10,"B' D B' F U F B D B F'","F B' D' F' B' U' F' B D' B",10,5.1856
329,10,"D B R' L' U' D B U D B","B' U' D' B' U D' R L B' D'",10,1.4717
330,10,"U' F B F U' D' F' D U' L","L' U D' F U D F2 B' U",9,0.0430
331,10,"U' R B L' B' D' R D' B U","U' B' D R' D B L B' R' U",10,0.0377
332,10,"D F' B R B' U' D' U D' F'","F D2 B R' F B' D'",7,0.2599
333,10,"D' L D' R' B' U' D' R' B' F'","F B R U D B R D L' D",10,0.3007
334,10,"D' R U' B R' F' U' L U' F'","F U L' U F R B' U R' D",10,0.3109
335,10,"F' U' D' L' U F' B' L' B F'","F B' L F B U' L U D F",10,0.8205
336,10,"R U L' F D U' F' D' L R'","L' R D F U D' F' L U' R'",10,9.1671
337,10,"U' B U' R L D' F' L' D' R","R' D L F D R' L' U B' U",10,0.6411
338,10,"B U' D U F' D B' L' B D","D' B' L B D' F D' B'",8,0.2938
339,10,"L B' R' L F' D U' R L' U","U' L R' U D' F R L' B L'",10,0.7061
340,10,"B' D' R' D' F' L' D F D' U'","U D F' D' L F D R D B",10,0.0642
341,10,"U F' D' L B D U' F U R","R' U' F' U D' B' L' D F U'",10,4.1762
342,10,"D F B' L B' L' B' D U' R'","R U D' B L B L' F' B D'",10,2.9350
343,10,"L' U' R' L D L' B' L B R'","R B' L' B L D' R L' U L",10,0.7140
344,10,"F' R U' B' U B R' U' R' U","U' R U R B' U' B U R' F",10,3.3892
345,10,"U' D L' B' R F L R B' L","L' B L' R' F' R' B L U D'",10,1.9994
346,10,"L' B U' B' D U' L' R' D F'","F D' L R U D' B U B' L",10,0.6289
347,10,"F D' B D' U R' B' U B' U'","U B U' B R U' D B' D F'",10,2.3398
348,10,"D B U B D B' F' R L' U'","U L R' F B D' B' U' B' D'",10,1.4000
349,10,"R' B' R' U' R B' U R L D","D' L' R' U' B R' U R B R",10,1.6638
350,10,"B F U' F U' L B' F' B' R","R' F B2 L' U F' U F' B'",9,0.2278
351,10,"R' U L' F L' R' F' U' F' U","U' F U F L2 R L' F' L U' R",11,2.4336
352,10,"L' F L F L D' L' F' B R'","R F B' L D L' F' L' F' L",10,10.1150
353,10,"B' R' L' B' D F U' B' D U'","U D' B U F' D' B R L B",10,0.2182
354,10,"R L' D U' R U D U' R F","F' R' D' R' U D' R' L",8,0.2175
355,10,"D' B R U' D R L R B' F","F' B L' R2 U D' R' B' D",9,2.3537
356,10,"L' R' L' U D' R D' U' R' U'","U R U D R' U' D R L2",9,0.1811
357,10,"F D' F' R B' F' U' F D U'","U D' F' U F B R' F D F'",10,1.8534
358,10,"F' R' U' R D' B' U L' D' L'","L D L U' B D R' U R F",10,0.1282
359,10,"L B' L F B' U F U F D'","D F' U' F' U' F' B L' B L'",10,2.2177
